an,judet,oras_tip,sex,profil,nota_romana,nota_matematica,nota_istorie,nota_specialitate,nota_lb_moderna,medie_generala,promovat,sesiune,tip_scoala
2019,Dolj,Urban,F,Uman,10.0,,7.5,6.16,8.98,8.04,1,vara,Liceu teoretic
2019,Suceava,Urban,F,Pedagogic,7.55,,8.19,5.06,8.15,7.11,1,vara,Liceu tehnic
2019,Vaslui,Urban,M,Uman,6.41,,4.46,8.67,6.88,6.57,0,vara,Liceu tehnic
2019,Bacau,Urban,M,Real,8.51,7.87,,7.65,7.76,7.97,1,vara,Colegiu national
2019,Arad,Urban,M,Uman,6.82,,5.88,7.57,8.81,7.05,1,vara,Liceu teoretic
2019,Bistrita-Nasaud,Urban,M,Tehnologic,8.16,5.39,,8.23,5.74,7.04,1,vara,Liceu teoretic
2019,Vrancea,Urban,F,Tehnologic,5.54,4.42,,6.43,6.34,5.59,0,vara,Liceu teoretic
2019,Bacau,Rural,M,Pedagogic,6.86,,5.41,6.29,5.72,6.12,1,vara,Liceu teoretic
2019,Mures,Urban,M,Real,6.92,8.17,,8.1,8.05,7.78,1,vara,Liceu tehnic
2019,Drobeta-Tr. Severin,Rural,F,Real,5.5,6.84,,6.33,4.89,6.03,1,toamna,Colegiu national
2019,Ilfov,Urban,M,Pedagogic,6.68,,7.09,,6.05,0.0,0,toamna,Grup scolar
2019,Salaj,Rural,F,Tehnologic,6.37,,,6.67,3.56,0.0,0,vara,Grup scolar
2019,Buzau,Urban,M,Uman,4.69,,6.15,6.84,6.43,5.97,0,vara,Liceu teoretic
2019,Suceava,Rural,M,Tehnologic,6.94,8.34,,6.61,5.38,7.02,1,vara,Liceu tehnic
2019,Constanta,Urban,M,Tehnologic,5.66,5.15,,6.55,8.71,6.2,1,vara,Liceu teoretic
2019,Olt,Urban,M,Tehnologic,6.68,6.55,,6.76,,6.66,1,vara,Liceu teoretic
2019,Covasna,Rural,F,Tehnologic,,6.81,,3.83,5.35,0.0,0,vara,Liceu tehnic
2019,Brasov,Urban,F,Uman,4.34,,6.89,7.34,7.04,6.31,0,vara,Liceu teoretic
2019,Constanta,Urban,M,Uman,7.29,,6.31,6.21,6.95,6.65,1,vara,Liceu teoretic
2019,Hunedoara,Rural,M,Uman,7.2,,6.29,,5.75,0.0,0,toamna,Grup scolar
2019,Vaslui,Rural,M,Tehnologic,4.46,4.23,,6.74,7.81,5.52,0,vara,Liceu tehnic
2019,Gorj,Urban,M,Tehnologic,8.21,5.22,,8.18,7.67,7.27,1,vara,Liceu tehnic
2019,Dambovita,Urban,M,Tehnologic,7.23,6.68,,6.83,5.88,6.77,1,vara,Liceu teoretic
2019,Drobeta-Tr. Severin,Urban,F,Real,8.25,8.52,,4.89,9.48,7.54,0,vara,Liceu teoretic
2019,Ialomita,Urban,F,Tehnologic,7.87,4.85,,6.35,4.28,6.06,0,vara,Grup scolar
2019,Ilfov,Rural,M,Tehnologic,6.55,7.9,,4.78,6.61,6.44,0,vara,Liceu teoretic
2019,Iasi,Urban,F,Tehnologic,7.84,6.24,,7.29,7.0,7.11,1,vara,Liceu tehnic
2019,Valcea,Urban,F,Tehnologic,7.28,6.43,,6.56,6.39,6.7,1,toamna,Liceu teoretic
2019,Mures,Rural,M,Tehnologic,6.44,4.29,,5.82,7.89,5.86,0,toamna,Liceu tehnic
2019,Covasna,Urban,F,Uman,6.01,,8.43,7.77,7.06,7.35,1,toamna,Liceu teoretic
2019,Alba,Rural,F,Uman,6.68,,6.9,5.76,3.9,6.08,1,toamna,Grup scolar
2019,Iasi,Urban,M,Real,6.87,5.19,,6.04,6.26,6.07,1,vara,Grup scolar
2019,Botosani,Urban,F,Uman,8.14,,8.22,6.02,6.52,7.33,1,vara,Colegiu national
2019,Braila,Urban,M,Tehnologic,6.82,7.61,,6.19,6.34,6.8,1,vara,Liceu teoretic
2019,Ialomita,Urban,M,Tehnologic,4.22,6.82,,6.61,7.13,6.06,0,vara,Grup scolar
2019,Alba,Urban,F,Real,6.64,9.13,,6.07,6.73,7.2,1,vara,Liceu tehnic
2019,Brasov,Urban,M,Real,8.94,7.98,,6.94,5.94,7.67,1,toamna,Liceu tehnic
2019,Ialomita,Urban,M,Tehnologic,5.52,6.16,,6.37,,6.02,1,vara,Colegiu national
2019,Caras-Severin,Urban,M,Real,5.41,8.45,,5.32,7.17,6.5,1,vara,Liceu teoretic
2019,Dolj,Urban,F,Real,6.12,5.36,,5.64,5.7,5.71,0,vara,Liceu teoretic
2019,Brasov,Urban,F,Real,9.01,,,7.02,8.31,0.0,0,toamna,Colegiu national
2019,Sibiu,Urban,F,Real,6.33,,,5.13,8.08,0.0,0,vara,Liceu teoretic
2019,Sibiu,Rural,F,Real,6.24,7.31,,5.46,5.4,6.2,1,toamna,Liceu tehnic
2019,Satu Mare,Urban,M,Uman,6.76,,5.74,5.29,4.72,5.76,0,toamna,Liceu tehnic
2019,Bihor,Urban,M,Uman,5.83,,6.34,6.08,6.63,6.16,1,toamna,Grup scolar
2019,Vrancea,Rural,F,Pedagogic,6.58,,3.93,6.52,5.75,5.69,0,vara,Grup scolar
2019,Tulcea,Urban,F,Uman,7.52,,5.08,7.35,8.55,6.92,1,vara,Grup scolar
2019,Valcea,Rural,M,Tehnologic,6.63,,,4.24,6.29,0.0,0,vara,Liceu teoretic
2019,Mehedinti,Rural,M,Real,4.28,7.24,,6.11,6.76,6.0,0,vara,Liceu teoretic
2019,Botosani,Urban,F,Real,7.53,9.44,,6.82,6.26,7.69,1,vara,Liceu tehnic
2019,Braila,Urban,F,Tehnologic,5.87,6.26,,7.49,5.03,6.32,1,vara,Liceu teoretic
2019,Brasov,Rural,F,Real,7.39,6.87,,7.28,6.99,7.15,1,toamna,Liceu teoretic
2019,Calarasi,Urban,M,Uman,7.75,,6.92,6.93,6.98,7.17,1,vara,Liceu tehnic
2019,Salaj,Rural,F,Uman,7.34,,5.73,4.95,9.84,6.55,0,toamna,Liceu tehnic
2019,Satu Mare,Urban,F,Tehnologic,7.0,7.22,,5.77,9.4,7.05,1,vara,Grup scolar
2019,Hunedoara,Urban,F,Real,5.44,5.75,,6.7,6.75,6.08,1,vara,Liceu teoretic
2019,Ialomita,Urban,F,Uman,7.79,,7.8,5.17,6.65,6.88,1,toamna,Liceu teoretic
2019,Teleorman,Urban,F,Tehnologic,,6.54,,7.28,6.61,0.0,0,vara,Liceu teoretic
2019,Sibiu,Urban,F,Real,6.68,5.72,,5.1,7.39,6.06,1,vara,Grup scolar
2019,Vaslui,Rural,F,Tehnologic,8.18,8.12,,6.58,,7.63,1,vara,Colegiu national
2019,Harghita,Rural,F,Tehnologic,5.73,7.36,,,4.39,0.0,0,vara,Grup scolar
2019,Maramures,Rural,F,Sportiv,5.62,,4.93,8.93,4.68,6.23,0,vara,Grup scolar
2019,Sibiu,Urban,M,Real,5.95,,,7.4,6.2,0.0,0,vara,Liceu tehnic
2019,Alba,Rural,F,Tehnologic,5.05,7.04,,6.96,4.31,6.06,1,vara,Liceu tehnic
2019,Sibiu,Rural,F,Uman,5.17,,5.5,8.21,7.95,6.53,1,vara,Liceu teoretic
2019,Teleorman,Rural,F,Uman,6.59,,6.56,4.26,8.51,6.19,0,vara,Liceu tehnic
2019,Constanta,Urban,M,Real,8.26,6.7,,9.3,7.07,7.94,1,vara,Liceu tehnic
2019,Arges,Rural,F,Tehnologic,5.44,6.11,,4.69,5.89,5.48,0,vara,Liceu tehnic
2019,Alba,Urban,M,Real,5.41,6.37,,7.37,5.11,6.2,1,toamna,Grup scolar
2019,Bihor,Urban,F,Uman,6.11,,4.26,5.51,7.85,5.66,0,vara,Grup scolar
2019,Ilfov,Rural,F,Real,8.5,7.38,,7.91,5.27,7.55,1,vara,Colegiu national
2019,Constanta,Urban,M,Tehnologic,6.39,6.43,,,,0.0,0,vara,Colegiu national
2019,Tulcea,Urban,F,Tehnologic,8.13,9.44,,8.6,3.81,8.02,1,toamna,Colegiu national
2019,Maramures,Rural,M,Tehnologic,5.69,7.71,,5.1,8.03,6.43,1,vara,Liceu teoretic
2019,Braila,Urban,M,Real,6.47,4.97,,5.34,7.21,5.82,0,vara,Liceu teoretic
2019,Covasna,Rural,F,Real,7.89,8.5,,6.43,6.56,7.46,1,vara,Colegiu national
2019,Covasna,Rural,M,Tehnologic,6.07,7.77,,6.31,,6.72,1,vara,Colegiu national
2019,Ilfov,Urban,M,Uman,4.94,,7.88,7.14,8.34,6.89,0,vara,Liceu teoretic
2019,Vrancea,Urban,M,Real,6.22,6.17,,6.6,4.61,6.08,1,vara,Grup scolar
2019,Cluj,Rural,M,Tehnologic,7.32,6.29,,5.47,5.36,6.22,1,vara,Liceu teoretic
2019,Prahova,Urban,F,Sportiv,7.04,,7.93,7.86,6.44,7.44,1,toamna,Liceu teoretic
2019,Tulcea,Rural,F,Tehnologic,6.92,6.72,,4.33,8.01,6.28,0,vara,Colegiu national
2019,Prahova,Rural,F,Tehnologic,6.07,7.67,,5.66,,6.47,1,vara,Liceu teoretic
2019,Bacau,Urban,M,Sportiv,8.41,,5.31,6.63,7.44,6.88,1,vara,Liceu teoretic
2019,Neamt,Urban,M,Real,4.78,7.57,,6.56,9.18,6.71,0,toamna,Liceu teoretic
2019,Teleorman,Rural,M,Uman,7.18,,6.03,6.26,6.64,6.51,1,toamna,Colegiu national
2019,Hunedoara,Urban,F,Sportiv,7.97,,6.45,7.28,5.75,7.02,1,vara,Liceu tehnic
2019,Tulcea,Urban,F,Real,6.29,5.85,,9.27,7.64,7.21,1,vara,Colegiu national
2019,Covasna,Rural,F,Tehnologic,5.53,6.14,,6.1,6.89,6.06,1,vara,Liceu tehnic
2019,Bucuresti,Rural,F,Uman,5.63,,8.01,5.89,7.01,6.58,1,vara,Liceu teoretic
2019,Mures,Urban,F,Uman,5.27,,5.1,4.98,4.48,5.03,0,vara,Grup scolar
2019,Suceava,Urban,F,Tehnologic,6.93,6.72,,6.15,5.1,6.39,1,vara,Liceu teoretic
2019,Cluj,Rural,F,Pedagogic,8.21,,3.88,7.16,5.04,6.22,0,vara,Grup scolar
2019,Prahova,Rural,M,Tehnologic,6.75,7.64,,,5.11,0.0,0,vara,Liceu tehnic
2019,Botosani,Rural,M,Real,4.35,,,4.45,4.77,0.0,0,vara,Grup scolar
2019,Harghita,Rural,F,Pedagogic,9.13,,6.94,5.45,7.17,7.17,1,vara,Liceu teoretic
2019,Mehedinti,Urban,F,Real,4.98,9.13,,6.27,5.72,6.64,0,vara,Liceu tehnic
2019,Arad,Rural,F,Uman,7.74,,6.13,6.95,7.59,7.03,1,vara,Liceu teoretic
2019,Vrancea,Rural,M,Uman,5.95,,7.35,6.1,6.98,6.54,1,vara,Liceu teoretic
2019,Bistrita-Nasaud,Urban,M,Uman,8.11,,9.51,5.91,7.95,7.86,1,vara,Colegiu national
2019,Mehedinti,Urban,F,Uman,5.63,,8.48,6.11,6.88,6.76,1,vara,Liceu teoretic
2019,Mehedinti,Rural,F,Sportiv,4.55,,5.45,4.69,3.1,4.64,0,vara,Liceu tehnic
2019,Giurgiu,Urban,M,Tehnologic,6.97,6.18,,6.48,6.23,6.5,1,vara,Liceu teoretic
2019,Neamt,Urban,F,Tehnologic,5.98,7.42,,8.08,,7.16,1,vara,Liceu teoretic
2019,Caras-Severin,Urban,M,Real,8.2,7.94,,7.19,8.49,7.88,1,vara,Colegiu national
2019,Mehedinti,Urban,M,Pedagogic,8.94,,6.19,6.85,6.45,7.2,1,vara,Liceu tehnic
2019,Iasi,Urban,F,Pedagogic,,,7.68,7.96,7.43,0.0,0,toamna,Colegiu national
2019,Tulcea,Urban,F,Tehnologic,7.71,7.77,,7.85,8.75,7.92,1,vara,Colegiu national
2019,Satu Mare,Rural,M,Real,3.99,5.16,,6.13,5.96,5.22,0,toamna,Grup scolar
2019,Alba,Rural,M,Real,6.22,6.42,,8.98,6.88,7.16,1,vara,Liceu teoretic
2019,Maramures,Rural,F,Real,4.71,6.21,,8.88,5.39,6.43,0,toamna,Colegiu national
2019,Cluj,Urban,M,Real,6.46,7.99,,6.37,,6.94,1,vara,Grup scolar
2019,Valcea,Rural,F,Uman,7.07,,8.36,8.87,7.69,8.04,1,vara,Colegiu national
2019,Arges,Rural,F,Pedagogic,7.96,,,4.63,7.29,0.0,0,vara,Liceu tehnic
2019,Tulcea,Rural,M,Uman,6.67,,7.96,8.09,6.44,7.41,1,vara,Colegiu national
2019,Bistrita-Nasaud,Urban,F,Real,8.39,6.01,,7.37,8.42,7.42,1,toamna,Colegiu national
2019,Brasov,Urban,F,Real,8.02,8.93,,9.83,8.45,8.86,1,vara,Colegiu national
2019,Maramures,Rural,F,Real,6.19,5.86,,5.92,6.19,6.02,1,vara,Liceu teoretic
2019,Braila,Rural,M,Real,7.07,7.71,,5.32,6.1,6.61,1,vara,Liceu teoretic
2019,Teleorman,Rural,M,Real,3.41,4.77,,6.16,6.67,5.05,0,vara,Grup scolar
2019,Satu Mare,Urban,F,Real,7.81,9.31,,6.0,5.88,7.45,1,toamna,Liceu teoretic
2019,Vrancea,Urban,F,Tehnologic,7.28,7.27,,8.25,7.2,7.54,1,vara,Colegiu national
2019,Ialomita,Rural,M,Sportiv,6.13,,5.85,6.32,4.41,5.86,0,vara,Liceu tehnic
2019,Covasna,Urban,M,Uman,6.59,,6.19,9.08,9.0,7.53,1,vara,Liceu tehnic
2019,Prahova,Rural,M,Uman,7.09,,6.95,6.36,6.66,6.78,1,toamna,Liceu teoretic
2019,Prahova,Rural,F,Tehnologic,6.82,7.86,,3.33,7.59,6.23,0,vara,Liceu teoretic
2019,Ialomita,Rural,M,Real,5.77,7.42,,4.14,4.05,5.53,0,vara,Grup scolar
2019,Valcea,Urban,F,Real,6.26,5.25,,6.94,6.83,6.25,1,vara,Grup scolar
2019,Calarasi,Urban,M,Pedagogic,6.42,,9.83,8.93,6.67,8.15,1,vara,Colegiu national
2019,Tulcea,Rural,F,Real,,4.44,,5.49,,0.0,0,vara,Liceu tehnic
2019,Arad,Rural,F,Tehnologic,6.28,6.85,,4.32,6.42,5.9,0,toamna,Colegiu national
2019,Arges,Urban,F,Uman,10.0,,8.18,6.37,6.03,7.88,1,vara,Colegiu national
2019,Teleorman,Urban,M,Uman,4.68,,5.26,5.12,,5.02,0,toamna,Liceu tehnic
2019,Dolj,Urban,F,Uman,5.63,,7.29,5.36,7.31,6.27,1,vara,Liceu teoretic
2019,Arad,Rural,M,Tehnologic,8.77,7.53,,7.82,4.94,7.6,1,vara,Colegiu national
2019,Arad,Rural,M,Real,6.86,7.39,,8.1,6.98,7.38,1,toamna,Colegiu national
2019,Mehedinti,Rural,F,Real,5.76,4.92,,6.42,,5.7,0,vara,Grup scolar
2019,Hunedoara,Urban,F,Tehnologic,9.68,7.17,,7.18,6.82,7.84,1,vara,Liceu teoretic
2019,Teleorman,Rural,M,Uman,8.44,,7.66,,9.04,0.0,0,vara,Colegiu national
2019,Prahova,Urban,M,Real,5.09,5.09,,6.21,6.6,5.63,0,vara,Liceu tehnic
2019,Satu Mare,Urban,F,Pedagogic,5.52,,6.06,7.85,8.59,6.78,1,vara,Liceu tehnic
2019,Alba,Rural,F,Uman,5.02,,6.22,8.24,7.93,6.7,1,vara,Liceu teoretic
2019,Galati,Urban,M,Tehnologic,7.39,6.33,,6.64,7.09,6.83,1,toamna,Liceu tehnic
2019,Arad,Urban,F,Tehnologic,8.78,5.84,,6.55,,7.06,1,toamna,Liceu tehnic
2019,Ilfov,Rural,M,Tehnologic,6.06,5.74,,6.09,6.35,6.02,1,vara,Liceu teoretic
2019,Prahova,Urban,F,Uman,8.73,,7.04,9.47,7.06,8.22,1,toamna,Colegiu national
2019,Bistrita-Nasaud,Urban,F,Sportiv,8.6,,5.23,8.43,7.78,7.47,1,toamna,Colegiu national
2019,Prahova,Urban,M,Real,5.11,7.72,,5.3,7.3,6.22,1,vara,Liceu tehnic
2019,Bacau,Urban,F,Tehnologic,,5.27,,5.49,4.95,0.0,0,vara,Grup scolar
2019,Caras-Severin,Rural,F,Real,7.8,4.95,,5.37,7.91,6.31,0,vara,Liceu teoretic
2019,Dolj,Urban,F,Uman,6.36,,5.49,7.02,6.59,6.33,1,vara,Liceu teoretic
2019,Timis,Rural,F,Uman,7.03,,8.46,5.31,7.61,7.03,1,vara,Colegiu national
2019,Ialomita,Urban,F,Sportiv,4.55,,7.85,9.78,5.22,7.08,0,toamna,Liceu teoretic
2019,Bihor,Urban,M,Sportiv,6.82,,4.46,5.42,5.76,5.59,0,vara,Liceu teoretic
2019,Salaj,Urban,M,Real,6.26,6.07,,6.58,7.31,6.45,1,vara,Liceu teoretic
2019,Bistrita-Nasaud,Rural,M,Real,6.38,,,,6.84,0.0,0,vara,Liceu teoretic
2019,Harghita,Urban,F,Tehnologic,4.79,6.25,,8.3,5.2,6.27,0,vara,Grup scolar
2019,Caras-Severin,Rural,F,Uman,6.77,,6.74,5.12,4.88,6.02,1,vara,Liceu teoretic
2019,Dambovita,Urban,F,Real,6.48,6.63,,6.2,9.56,6.88,1,vara,Liceu tehnic
2019,Satu Mare,Rural,M,Tehnologic,4.96,6.14,,7.87,4.33,6.04,0,vara,Liceu teoretic
2019,Braila,Rural,F,Uman,7.58,,6.66,7.04,,7.09,1,vara,Colegiu national
2019,Bistrita-Nasaud,Rural,F,Sportiv,6.79,,5.09,6.64,7.51,6.36,1,vara,Liceu teoretic
2019,Dambovita,Rural,F,Real,4.55,7.27,,5.07,8.39,6.02,0,vara,Colegiu national
2019,Mures,Urban,M,Uman,4.56,,5.51,8.13,6.28,6.1,0,vara,Liceu tehnic
2019,Arges,Rural,M,Uman,,,6.12,5.82,5.7,0.0,0,vara,Liceu teoretic
2019,Giurgiu,Urban,F,Tehnologic,6.53,6.98,,5.89,4.39,6.17,1,vara,Liceu tehnic
2019,Suceava,Urban,F,Uman,8.11,,4.99,6.34,6.85,6.53,0,vara,Liceu teoretic
2019,Galati,Urban,M,Tehnologic,5.09,5.08,,5.81,7.36,5.62,0,vara,Liceu tehnic
2019,Ilfov,Urban,F,Real,7.42,8.99,,7.3,9.03,8.06,1,toamna,Liceu teoretic
2019,Arges,Urban,M,Tehnologic,7.73,6.4,,7.35,8.39,7.34,1,vara,Grup scolar
2019,Galati,Urban,F,Uman,7.93,,5.85,5.98,8.2,6.82,1,vara,Liceu teoretic
2019,Giurgiu,Urban,F,Real,5.92,8.77,,8.21,6.72,7.5,1,toamna,Colegiu national
2019,Prahova,Urban,M,Tehnologic,,6.5,,5.55,,0.0,0,toamna,Liceu teoretic
2019,Botosani,Urban,F,Real,8.18,8.43,,6.63,5.72,7.46,1,vara,Liceu teoretic
2019,Valcea,Rural,M,Real,4.2,,,5.03,6.49,0.0,0,toamna,Liceu tehnic
2019,Satu Mare,Rural,M,Pedagogic,,,5.2,7.12,4.93,0.0,0,vara,Grup scolar
2019,Vaslui,Rural,F,Uman,7.36,,6.08,5.63,7.79,6.56,1,vara,Liceu teoretic
2019,Tulcea,Urban,M,Tehnologic,8.57,4.23,,7.15,4.57,6.35,0,toamna,Liceu teoretic
2019,Drobeta-Tr. Severin,Urban,M,Real,6.92,5.96,,9.18,7.48,7.37,1,vara,Liceu teoretic
2019,Vaslui,Rural,M,Tehnologic,4.81,5.83,,5.84,4.51,5.35,0,vara,Liceu teoretic
2019,Alba,Rural,M,Real,6.57,7.92,,4.4,5.73,6.22,0,vara,Liceu teoretic
2019,Caras-Severin,Rural,M,Uman,7.99,,8.52,6.61,5.01,7.32,1,vara,Liceu tehnic
2019,Mehedinti,Urban,M,Sportiv,7.22,,7.53,7.23,5.62,7.08,1,vara,Liceu teoretic
2019,Iasi,Urban,F,Tehnologic,7.49,6.63,,7.57,5.43,6.97,1,vara,Liceu teoretic
2019,Hunedoara,Rural,M,Uman,6.48,,8.24,6.02,7.26,6.96,1,toamna,Colegiu national
2019,Olt,Urban,F,Uman,6.39,,5.27,5.53,,5.73,0,toamna,Liceu tehnic
2019,Neamt,Urban,M,Pedagogic,4.48,,7.39,6.82,7.01,6.34,0,toamna,Liceu teoretic
2019,Vrancea,Rural,M,Uman,7.06,,6.36,5.5,4.86,6.1,1,vara,Liceu teoretic
2019,Sibiu,Rural,M,Tehnologic,8.61,,,5.71,7.86,0.0,0,vara,Colegiu national
2019,Botosani,Urban,F,Tehnologic,4.13,7.05,,6.75,7.81,6.24,0,toamna,Liceu teoretic
2019,Dambovita,Urban,F,Real,6.31,,,5.02,5.04,0.0,0,toamna,Liceu tehnic
2019,Ilfov,Rural,F,Real,7.72,6.21,,,7.81,0.0,0,vara,Liceu teoretic
2019,Arad,Urban,M,Tehnologic,7.26,6.99,,5.94,5.26,6.52,1,vara,Liceu tehnic
2019,Alba,Rural,F,Real,5.75,6.26,,4.83,7.2,5.84,0,vara,Liceu teoretic
2019,Calarasi,Rural,M,Real,8.28,9.92,,5.97,7.17,7.93,1,vara,Colegiu national
2019,Bihor,Rural,M,Sportiv,6.8,,7.6,4.13,4.66,5.96,0,vara,Grup scolar
2019,Teleorman,Rural,F,Uman,8.14,,7.15,4.98,8.32,6.98,0,toamna,Colegiu national
2019,Prahova,Urban,M,Tehnologic,7.28,5.84,,6.91,5.95,6.57,1,vara,Liceu teoretic
2019,Braila,Urban,F,Uman,5.68,,6.4,4.72,8.67,6.04,0,vara,Liceu teoretic
2019,Valcea,Urban,M,Uman,8.68,,,5.49,5.91,0.0,0,vara,Liceu teoretic
2019,Sibiu,Urban,F,Real,8.44,8.58,,9.09,5.94,8.31,1,vara,Liceu teoretic
2019,Galati,Urban,F,Uman,7.15,,7.96,4.43,6.56,6.52,0,vara,Liceu teoretic
2019,Dambovita,Urban,F,Real,7.82,10.0,,8.78,8.33,8.79,1,vara,Colegiu national
2019,Arges,Rural,M,Uman,8.48,,5.48,6.63,5.47,6.66,1,vara,Liceu tehnic
2019,Giurgiu,Urban,M,Tehnologic,7.1,7.4,,4.76,5.07,6.23,0,vara,Liceu tehnic
2019,Ialomita,Urban,F,Uman,,,8.49,6.02,6.35,0.0,0,vara,Liceu tehnic
2019,Satu Mare,Urban,M,Uman,7.36,,7.15,9.18,6.87,7.75,1,vara,Liceu tehnic
2019,Ialomita,Rural,F,Uman,,,5.74,6.88,7.98,0.0,0,vara,Liceu teoretic
