company_name,year,sector,current_ratio,quick_ratio,debt_ratio,debt_to_equity,net_profit_margin,return_on_assets,return_on_equity,asset_turnover,working_capital_ratio,interest_coverage,is_bankrupt
MERCADO SRL,2020,Agricultura,0.2743,0.1888,0.8702,14.4538,0.0127,0.0061,0.1007,0.476,-0.6315,0.0229,
TRANS IVINIS & CO SRL,2020,Agricultura,2.5358,2.5351,0.3055,0.4399,46.7906,60.897,87.6851,1.3015,0.4692,41.0864,
ALPIN 57 LUX S.R.L.,2020,Agricultura,1.3209,0.4885,0.2123,0.2733,6.1743,4.8425,6.2347,0.7843,0.0681,5.3226,
FANTASTIC SRL,2020,Agricultura,27.6864,26.6158,0.0361,0.0374,25.8228,50.4491,52.3379,1.9537,0.9631,200.0,
PRENIS SRL,2020,Agricultura,1.1162,1.0394,0.8088,4.2305,46.0832,5.3156,27.8035,0.1153,0.094,1.4123,
GIRO SRL,2020,Agricultura,0.9089,0.7096,0.5155,1.0642,15.1249,10.9549,22.6128,0.7243,-0.047,4.5255,
ROMANA STADION SRL,2020,Agricultura,2.2136,1.284,0.2871,0.4026,3.929,1.8607,2.6099,0.4736,0.3484,1.6263,
INFOGRUP SRL,2020,Agricultura,0.9142,0.4913,0.8063,4.1626,7.622,2.5998,13.422,0.3411,-0.0692,0.8091,
LIVIO-DARIO SRL,2020,Agricultura,0.5682,0.1272,0.9221,11.8323,18.4975,7.2226,92.682,0.3905,-0.3981,1.6331,
TOBIMAR SRL,2020,Agricultura,0.3853,0.209,1.0463,-22.5985,-4.5508,-6.2193,134.328,1.3666,-0.6432,-1.1888,
PROMOTION SRL FILIALA BLAJ,2020,Agricultura,0.8187,0.671,1.1343,-7.7921,4.5408,3.0046,-20.6399,0.6617,-0.2057,0.7907,
EUROPEXPRES SRL,2020,Agricultura,0.4406,0.0504,0.7107,2.95,13.345,4.0906,16.9791,0.3065,-0.3976,1.3229,
ALBA ALUMINIU SRL,2020,Agricultura,1.0975,0.9,0.6127,1.8241,2.6833,9.665,28.7754,3.6019,0.0598,3.5678,
SCANDIA RETAIL S.R.L.,2020,Agricultura,0.4386,0.2164,0.6581,6.8666,0.9208,0.6557,6.8422,0.7121,-0.3695,0.3041,
TRANS AVRAM SRL,2020,Agricultura,0.5206,0.4872,0.7188,5.2477,1.3798,0.455,3.322,0.3298,-0.3446,0.1524,
POMPONIO SRL,2020,Agricultura,20.5843,8.9547,0.028,0.0288,16.8972,13.1734,13.5525,0.7796,0.5478,94.6547,
LIN & EMA SRL,2020,Agricultura,0.353,0.1691,0.8591,6.0967,0.6354,0.1598,1.1343,0.2516,-0.5558,0.0948,
CETATEA DE BALTA SRL,2020,Agricultura,3.101,0.7901,0.1397,0.1782,17.8507,5.9334,7.5686,0.3324,0.2935,10.7087,
H.P.T. HUMBEL PRODUCTIONSTECHNIK SRL,2020,Agricultura,11.0988,7.352,0.046,0.0482,30.2454,6.4738,6.7859,0.214,0.4645,29.0656,
NOVA GRUP SRL,2020,Agricultura,1.0824,0.4269,0.6535,1.8861,9.0858,5.2053,15.0232,0.5729,0.0539,1.7938,
ALOREF SRL,2020,Agricultura,0.0769,0.0063,1.2267,-5.4107,-73.3171,-4.9691,21.917,0.0678,-1.1324,-0.8045,
ATERO SRL,2020,Agricultura,0.6083,0.3792,0.4843,1.2228,3.3563,0.6508,1.643,0.1939,-0.1897,0.3012,
PARCUL INDUSTRIAL CUGIR SA,2020,Agricultura,0.6406,0.251,0.6854,7.0833,0.0462,0.0497,0.514,1.0765,-0.2464,0.1278,
ALBATROS GOLD SRL,2020,Agricultura,1.6122,1.2558,0.2986,0.8175,-66.4615,-5.5965,-15.3225,0.0842,0.1828,-3.7487,
SAVINI DUE SRL,2020,Agricultura,0.4386,0.1703,0.9348,42.1671,0.2453,0.1272,5.7392,0.5187,-0.5248,0.0324,
ELIS AGREGATE SRL,2020,Agricultura,0.4224,0.2487,0.2455,0.3254,27.3764,24.1607,32.0237,0.8825,-0.1418,20.5938,
EURO STAR GROUP SRL,2020,Agricultura,7.7428,6.0582,0.0459,0.0547,32.4071,16.1503,19.2336,0.4984,0.3097,70.8414,
OCOLUL SILVIC SEBEŞ RA,2020,Agricultura,0.8982,0.5684,0.2341,0.6061,11.2443,5.6839,14.717,0.5055,-0.0238,5.1444,
S.T.G. SWITCH TECHNOLOGY GUNTHER SRL,2020,Agricultura,1.531,1.4357,0.5714,1.3334,42.7968,36.5159,85.2045,0.8532,0.3034,13.0792,
OCOLUL SILVIC SAPCEA CUGIR RA,2020,Agricultura,0.6298,0.2553,0.4315,0.9604,9.6753,3.7926,8.4408,0.392,-0.1598,2.087,
REGIA AUTONOMA LOCALA-OCOLUL SILVIC VALEA PIANULUI RA,2020,Agricultura,0.8225,0.7007,0.6863,2.1874,0.967,1.2336,3.9322,1.2758,-0.1218,0.4303,
ANA GIK TRANS SRL,2020,Agricultura,9.6579,8.7351,0.0975,0.108,9.8267,9.8302,10.8922,1.0004,0.8442,25.6598,
COMPANIA NAŢIONALĂ ROMARM S.A. BUCUREŞTI FILIALA SOCIETATEA FABRICA DE ARME CUGIR S.A.,2020,Agricultura,0.7058,0.2704,0.562,1.2995,1.7759,1.116,2.5806,0.6284,-0.1654,0.5529,
CONSTRUCŢII ŞI SERVICII SRL,2020,Agricultura,0.5716,0.3591,0.9564,21.9571,6.0097,2.3366,53.6405,0.3888,-0.4097,0.5654,
MECATRONICS SA,2020,Agricultura,0.4853,0.4853,0.2303,0.3011,74.0003,10.11,13.2194,0.1366,-0.1185,9.7949,
TOBIMAR CONSTRUCT SRL,2020,Agricultura,0.4393,0.0032,0.9545,-7.6687,89.1902,17.5954,-141.3696,0.1973,-0.5352,3.6941,
MARIA TURISM SRL,2020,Agricultura,0.5697,0.3468,0.2929,0.4146,21.6601,2.5992,3.6787,0.12,-0.126,1.8436,
CASA AUTO SEBEŞ SRL,2020,Agricultura,0.4606,0.4558,0.3045,0.557,0.0,0.0,0.0,0.5389,-0.1642,0.0102,
PREFERA FOODS SA,2020,Agricultura,1.156,0.561,0.7485,3.1207,2.6451,22.9435,95.6559,8.6739,0.1168,8.1361,
REGIA AUTONOMĂ LOCALĂ OCOLUL SILVIC VALEA SEBEŞULUI RA,2020,Agricultura,1.591,1.0092,0.3258,0.5434,7.5823,4.53,7.5546,0.5974,0.1926,3.182,
LACTATE CH SRL,2020,Agricultura,1.5755,1.0178,0.2661,0.4316,7.0606,3.0242,4.9065,0.4283,0.1531,2.7195,
ATLAS IMOBILIARE SRL,2020,Agricultura,0.4664,0.2678,1.4465,-3.2398,-32.9933,-67.9716,152.2419,2.0602,-0.7719,-9.1581,
LACTALIS ROMANIA S.A.,2020,Agricultura,0.6144,0.3111,0.9005,9.0551,-66.1522,-8.5039,-85.5073,0.1286,-0.3473,-1.8689,
DN AGRAR APOLD SRL,2020,Agricultura,0.9711,0.4677,0.9101,10.1207,-0.5865,-0.4433,-4.9296,0.7558,-0.0263,-0.0974,
BARIL FORTE SRL,2020,Agricultura,0.0231,0.0228,0.9404,15.7909,12.464,3.1053,52.1416,0.2491,-0.9187,0.7135,
ROMANIAN WINE & SPIRIT TRADE CO. S.R.L.,2020,Agricultura,1.0825,0.7503,0.7284,2.6814,2.0832,2.4989,9.1996,1.1995,0.0601,0.9667,
AGROPEC DIONIS SRL,2020,Agricultura,0.9994,0.8618,0.7859,3.671,14.6849,7.7817,36.3486,0.5299,-0.0004,2.1151,
STRATUSCOM BLAJ SRL,2020,Agricultura,3.3753,3.3753,0.2753,0.3831,23.1944,27.8994,38.8279,1.2028,0.6538,22.9195,
LACUL CODRILOR SRL,2020,Agricultura,1.5533,1.284,0.2709,1.0002,23.5392,6.7065,24.7568,0.2849,0.1499,5.6816,
SALUBRITATE APUSENI SRL,2020,Agricultura,0.4442,0.1914,0.9385,25.116,0.9502,1.3174,35.2565,1.3865,-0.5216,0.3461,
REAL DOC FOREST SRL,2020,Agricultura,0.8787,0.3404,0.6401,1.7784,0.574,0.5032,1.3981,0.8767,-0.0776,0.1872,
EXCELENT AUTO SRL,2020,Agricultura,1.5712,0.3807,0.2817,0.3923,4.9882,2.6724,3.7206,0.5357,0.1609,2.4488,
SATROTEC SRL,2020,Agricultura,0.6779,0.6779,1.4751,-3.1048,-43.4596,-34.7904,73.2258,0.8005,-0.4751,-4.6053,
VCST AUTOMOTIVE PRODUCTION ALBA SRL,2020,Agricultura,5.5322,2.7875,0.1175,0.1332,-12.5822,-7.1926,-8.1506,0.5716,0.5327,-11.2656,
TECNO PLAST CUGIR SRL,2020,Agricultura,0.93,0.9268,0.1067,0.1195,0.0,0.0,0.0,0.662,-0.0075,0.0,
GEORGIA CATERING SRL,2020,Agricultura,1.513,0.7188,0.3904,0.6403,26.1673,18.7425,30.7436,0.7163,0.2003,10.2978,
MOLIDUL LAZ SRL,2020,Agricultura,0.4788,0.3948,0.2646,0.3599,38.4467,26.5003,36.0375,0.6893,-0.1379,23.6958,
GV & OPREAN LOGISTICS  SRL,2020,Agricultura,0.6216,0.4376,0.973,36.0401,0.8674,1.4255,52.8016,1.6434,-0.3682,0.3141,
COSMETICS VENOM SRL,2020,Agricultura,0.5083,0.3658,0.8983,14.7635,0.4164,0.4235,6.9608,1.0172,-0.4417,0.1151,
VERDINO GREEN FOODS S.R.L.,2020,Agricultura,1.0027,0.4824,0.34,0.5152,-1.2822,-2.3602,-3.5762,1.8408,0.0009,-1.3883,
BOSCH REXROTH S.R.L.,2020,Agricultura,0.7691,0.4228,0.5904,1.6849,28.0794,14.0555,40.1149,0.5006,-0.1363,5.3559,
PHOENIX GROUP SRL,2020,Agricultura,0.6522,0.5785,0.8401,5.2552,0.1091,0.2144,1.3409,1.9646,-0.2922,0.5192,
MIRADA CONSTRUCT SRL,2020,Agricultura,0.6369,0.171,0.4927,1.2031,-25.5919,-4.749,-11.5959,0.1856,-0.1789,-1.9277,
GOSPODARIREA COMUNALA ARAD SA,2020,Agricultura,0.8125,0.0776,0.7676,2.6437,0.1782,0.1124,0.387,0.6306,-0.1439,0.161,
COMPANIA DE APĂ ARAD SA,2020,Agricultura,2.2855,1.1434,0.3049,0.4386,25.6115,22.2481,32.007,0.8687,0.3919,15.2153,
DARIMEX INTERNATIONAL SRL,2020,Agricultura,0.382,0.3282,0.8031,4.0786,-2.2857,-2.9242,-14.8507,1.2793,-0.4963,-0.7282,
ARSAT INDUSTRIE SRL,2020,Agricultura,30.6545,30.6432,0.0316,0.0327,97.0004,24.534,25.3352,0.2529,0.9378,159.9598,
RESCO SA,2020,Agricultura,1.7548,1.7548,0.4308,0.7568,-3.2112,-1.2335,-2.167,0.3841,0.3252,-0.5727,
COMPANIA DE TRANSPORT PUBLIC SA,2020,Agricultura,1.4795,0.3968,0.2041,0.2572,11.0294,2.3694,2.9851,0.2148,0.0979,2.3214,
Firma_19108330,2020,Agricultura,0.4462,0.0782,0.653,1.8818,-82.1069,-10.0389,-28.9297,0.1223,-0.3616,-3.0373,
SINAPIS SRL,2020,Agricultura,0.7695,0.6268,0.851,6.1204,13.0193,7.5791,54.5061,0.5821,-0.1962,1.7882,
AGROINDIMPEX SRL,2020,Agricultura,0.8353,0.8093,0.1838,2.1617,0.0,0.0,0.0,0.8123,-0.0303,0.0,
CHEMIROL AGRO SRL,2020,Agricultura,2.5968,2.2043,0.3207,0.4722,3.4505,3.6618,5.3909,1.0612,0.5122,2.9602,
LUAR SRL,2020,Agricultura,3.5955,2.4711,0.2326,0.3031,28.061,23.9772,31.2439,0.8545,0.6037,21.4069,
NORBELA  SRL,2020,Agricultura,1.1775,1.1775,0.5641,2.3296,9.7846,24.1384,99.6799,2.467,0.1001,10.1958,
OST TRANSPORT SRL,2020,Agricultura,1.0616,0.9126,0.039,0.0406,24.8654,1.1596,1.2067,0.0466,0.0024,6.6408,
HYDRO BG SRL,2020,Agricultura,8.5853,4.7324,0.1165,0.1318,34.2476,10.6286,12.0298,0.3103,0.8835,19.8478,
TEHNODOMUS S.R.L.,2020,Agricultura,1.1461,0.3564,0.6242,1.6613,1.4976,0.4077,1.0849,0.2722,0.0912,0.1953,
AEROPORTUL ARAD SA,2020,Agricultura,0.8123,0.2977,0.4711,1.4978,2.1336,1.0122,3.2179,0.4744,-0.0884,0.6145,
TERMO - CONSTRUCT SA,2020,Agricultura,6.2734,6.0992,0.1367,0.1584,52.7876,45.2085,52.3676,0.8564,0.7209,67.3074,
P L NORIS SRL,2020,Agricultura,1.2334,1.2334,0.8108,4.2847,5.4627,10.1621,53.7037,1.8603,0.1892,2.5068,
FERONERIA PROD SA,2020,Agricultura,2.3295,2.0882,0.1138,0.1284,-3.1208,-3.2735,-3.6938,1.0489,0.1513,-3.9784,
MOBILIER GENERAL ARAD MGA SRL,2020,Agricultura,3.6997,2.2726,0.2062,0.268,11.6089,10.1498,13.1942,0.8743,0.5567,10.375,
VERBITA SRL,2020,Agricultura,7.6081,3.5752,0.0864,0.0945,11.8576,7.8584,8.6011,0.6627,0.5706,19.8356,
AMAHOUSE SRL,2020,Agricultura,0.6086,0.0333,0.5622,1.9336,3.4463,2.4893,8.5618,0.7223,-0.22,1.0468,
LACTO FOOD S.R.L.,2020,Agricultura,0.5971,0.3058,0.7599,3.1655,0.0549,0.0145,0.0606,0.265,-0.3062,0.0104,
UNIVERSAL CRIS SRL,2020,Agricultura,1.6367,0.7976,0.4429,1.2425,12.2853,3.2041,8.9888,0.2608,0.282,1.6888,
MARESI FOODBROKER SRL,2020,Agricultura,1.2352,0.144,0.6309,1.7094,0.6317,0.4612,1.2495,0.7301,0.1484,0.3613,
MARGINEANA SRL,2020,Agricultura,1.8319,0.8802,0.2742,0.4048,0.1349,0.0689,0.1017,0.5106,0.2281,0.3587,
R.D.F. S.R.L.,2020,Agricultura,1.0502,0.654,0.7225,2.6035,-19.0923,-9.1774,-33.0705,0.4807,0.0363,-1.0155,
RECONS SA,2020,Agricultura,0.4925,0.24,0.8156,4.4237,-61.0685,-15.518,-84.1655,0.2541,-0.4139,-3.6352,
SECURO TECH SRL,2020,Agricultura,9.9031,9.173,0.101,0.1123,55.5453,64.5679,71.8202,1.1624,0.899,134.7923,
VDL - ROTECH SRL,2020,Agricultura,4.6585,1.3997,0.1601,0.1934,41.669,17.6414,21.3032,0.4234,0.5859,22.2644,
DMT EURO SERVICES SRL,2020,Agricultura,0.7096,0.6091,1.399,-3.5061,-25.8268,-15.15,37.9675,0.5866,-0.4062,-2.1658,
ROMNIN CONCEPT 2005 SRL,2020,Agricultura,0.8355,0.8355,0.6181,1.6188,-16.0343,-42.3328,-110.8619,2.6401,-0.1017,-12.4151,
KRANZ EUROCENTER SRL,2020,Agricultura,3.8955,2.6066,0.0696,0.1134,37.5777,15.7005,25.5768,0.4178,0.2015,46.2337,
EUROPEAN LOGISTICS SRL,2020,Agricultura,33.0374,16.0061,0.0144,0.0146,28.9707,15.4209,15.6463,0.5323,0.4614,200.0,
P&G KRAFT SPEDITION SRL,2020,Agricultura,0.5187,0.2504,0.4592,0.849,22.548,1.8772,3.4709,0.0833,-0.221,0.8503,
HELP FARM PLUS SRL,2020,Agricultura,0.8985,0.2282,0.8707,6.7319,-9.5539,-6.5004,-50.2611,0.6804,-0.0884,-1.3788,
FFT PRODUCTION SYSTEMS SRL,2020,Agricultura,0.7502,0.3853,0.5077,1.0315,0.0936,0.2239,0.4549,2.3909,-0.1268,0.1279,
FACONNAGE MECANIQUE DE LA BRESLE PLASTICS SRL,2020,Agricultura,0.5851,0.4215,1.0995,-11.0539,8.3199,7.2002,-72.3903,0.8654,-0.4562,1.3988,
ADEFARM PLUS SRL,2020,Agricultura,0.4801,0.1827,0.6625,7.6071,0.9849,0.2218,2.5465,0.2252,-0.3444,0.0669,
AGEXIM SPEDITION SRL,2020,Agricultura,1.325,1.0843,0.4244,0.7622,9.3808,3.5242,6.33,0.3757,0.1379,1.9146,
CONARG REAL ESTATE S.A.,2020,Agricultura,0.5054,0.2012,1.2888,-4.4622,0.7187,0.4673,-1.6177,0.6501,-0.6375,0.0725,
TIB COMPANY CONTRACTOR SRL,2020,Agricultura,0.8343,0.5368,0.6055,1.5346,16.6327,7.0498,17.8686,0.4239,-0.1003,2.459,
TFM METAL INDUSTRY SRL,2020,Agricultura,2.3278,1.6372,0.2951,0.4238,6.4148,5.5027,7.9037,0.8578,0.3918,3.9659,
SOFTWARE & DEVELOPMENT SRL,2020,Agricultura,2.8374,1.7269,0.1798,0.2192,29.1416,16.6327,20.2779,0.5708,0.3303,19.1132,
NORDEX FOOD ROMANIA SRL,2020,Agricultura,0.2255,0.1592,0.7743,3.8251,13.4296,10.7317,53.0177,0.7991,-0.5997,3.2065,
CONIM PARTNERS SRL,2020,Agricultura,0.9077,0.2255,0.4856,0.9442,6.5064,8.4026,16.3364,1.2914,-0.0448,4.2197,
SEGULA INTEGRATION SRL,2020,Agricultura,0.8674,0.4973,0.6317,1.7152,0.2289,0.0665,0.1805,0.2904,-0.0838,0.0551,
SAM DOR DIVERS SRL,2020,Agricultura,0.6143,0.3381,0.9519,19.7804,12.2758,9.0656,188.3861,0.7385,-0.3672,1.9761,
CER CLEANING EQUIPMENT SRL,2020,Agricultura,0.4615,0.2174,0.8804,7.3601,0.29,0.1359,1.1362,0.4686,-0.474,0.0552,
EURO HIDRO CONCID SRL,2020,Agricultura,0.4975,-0.0763,0.4562,0.8389,5.951,1.187,2.1828,0.1995,-0.2292,0.6426,
FONTANA PIETRO ROMANIA SRL,2020,Agricultura,1.3034,0.4754,0.6244,1.6625,-4.0456,-9.0086,-23.9853,2.2268,0.1894,-2.8854,
DMG MORI ROMÂNIA SRL,2020,Agricultura,14.4758,13.9343,0.069,-40.6856,0.7794,0.2554,-150.5848,0.3277,0.93,0.7402,
BRONZE ALU CARPAŢI SRL,2020,Agricultura,0.608,0.379,0.7895,3.7515,19.0185,12.4637,59.2211,0.6553,-0.3095,3.3352,
FIRST TRUCK SERVICE SRL,2020,Agricultura,1.0864,0.8022,0.5635,1.2908,14.8323,29.7524,68.1565,2.0059,0.0487,11.2983,
ROECHLING AUTOMOTIVE PITEŞTI SRL,2020,Agricultura,0.3374,0.3021,1.2129,-3.3956,0.0573,0.0473,-0.1324,0.826,-0.8037,0.0078,
NOBEL AUTOMOTIVE ROMANIA SRL,2020,Agricultura,0.5656,0.3194,0.5785,1.422,-14.1986,-3.3965,-8.3488,0.2392,-0.2513,-1.093,
COSTRUZIONI DONDI SPA ROVIGO SUCURSALA PITESTI,2020,Agricultura,0.0719,0.0618,0.6333,1.8272,1.6835,0.4719,1.3616,0.2803,-0.5877,0.2534,
FLORIMAR CONSTRUCT TOTAL SRL,2020,Agricultura,0.9316,0.5151,0.51,1.0408,54.1466,10.4878,21.4037,0.1937,-0.0349,4.1917,
IHLE ANVELOPE SRL,2020,Agricultura,1.5588,1.127,0.4859,0.9452,13.9908,14.0549,27.3401,1.0046,0.2716,6.6526,
HCB CONSTRUCT INVESTMENT SRL,2020,Agricultura,0.5136,0.1549,0.999,500.0,0.0168,0.0187,18.9471,1.1101,-0.4859,0.0043,
COM DIVERS LOGISTIC SRL,2020,Agricultura,1.6308,1.4677,0.4654,0.8706,12.6924,32.6767,61.1238,2.5745,0.2936,16.1623,
VENUS BCLMOB CLASS SRL,2020,Agricultura,0.2462,0.1104,0.7494,2.9896,-47.677,-21.6682,-86.4484,0.4545,-0.5648,-5.7832,
ALC INJECT POLISTIREN S.A.,2020,Agricultura,0.3539,0.1296,0.6061,1.5387,-79.5993,-26.4617,-67.1778,0.3324,-0.3916,-8.6196,
SERVICII EDILITARE PENTRU COMUNITATE MIOVENI SRL,2020,Agricultura,0.5569,0.1944,0.9837,60.361,1.409,0.9774,59.9757,0.6937,-0.4359,0.2744,
PIEŢE-SERVICII COMUNITARE MUSCEL SRL,2020,Agricultura,0.3124,0.0922,0.4992,0.997,-25.7707,-7.9627,-15.9012,0.309,-0.3433,-3.1899,
SALUBRITATE PUBLICĂ URBANĂ CURTEA DE ARGEŞ SRL,2020,Agricultura,0.5038,0.2246,1.1551,-7.4473,-22.3558,-24.3749,157.1534,1.0903,-0.5731,-4.2204,
TERMO CALOR CONFORT SA,2020,Agricultura,6.8416,6.1649,0.1295,0.1487,5.901,4.6262,5.3144,0.784,0.7564,8.362,
SALPITFLOR GREEN SA,2020,Agricultura,0.9836,0.1968,0.8688,6.6243,1.4881,1.1222,8.5557,0.7541,-0.0142,0.457,
APĂ RĂTEŞTI SRL,2020,Agricultura,0.3715,0.131,1.369,-3.7103,5.9944,3.7405,-10.1376,0.624,-0.8604,0.6489,
EDIL EXPERT PUBLISERV SUSENI SRL,2020,Agricultura,0.1272,0.1258,1.0973,-9.9637,-94.9612,-13.1542,119.4422,0.1385,-0.9577,-2.3723,
REGIA DE ADMINISTRARE A DOMENIULUI PUBLIC ŞI PRIVAT AL JUDEŢULUI ARGEŞ RA,2020,Agricultura,0.2159,0.2159,0.5329,-1.2653,-24.2896,-31.1229,73.8972,1.2813,-0.4179,-11.1996,
REGIA AUTONOMĂ JUDEŢEANĂ DE DRUMURI ARGEŞ RA,2020,Agricultura,0.4528,0.0775,0.8425,5.3479,-21.0086,-4.1762,-26.5104,0.1988,-0.461,-0.9682,
ADLER PELZER AUTOMOTIVE ROMANIA S.R.L.,2020,Agricultura,1.0158,0.2981,0.5273,2.0525,1.9845,0.5849,2.2769,0.2948,0.0083,0.2624,
